Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-04f9adc2-7bbb-4d8b-9043-10fae51edf62,MX-P1-1-919619,850094515001,2023-01-08 06:30:43,2023-01-08 06:30:42,9.76,0.31,198.57,6.3542,0.0,0.0,MXN,20.351,MX,452e16c9-53b3-4b0a-a36a-e2c5760b587f,1-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-08 06:30:43,0,0,0,MX,P1,1.0,919619
T-57873-80623907-0fef-4f41-b81b-6c5b4b0129af,MX-P1-1-712026,920096137512,2023-01-08 06:30:43,2023-01-08 06:30:42,9.76,0.31,198.57,6.3542,0.0,0.0,MXN,20.351,MX,45c8a29e-de28-46fd-bf1b-b9826ace3d76,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-08 06:30:43,0,0,0,MX,P1,1.0,712026
T-57873-be2a1895-d03b-462d-83a9-c58789a792a7,MX-P1-1-383638,850094952222,2023-01-08 21:48:49,2023-01-08 21:48:48,9.76,0.31,198.57,6.3542,0.0,0.0,MXN,20.3468,MX,24fe92df-1824-47f4-8aaf-3c095fd0bd4a,1-1-,NO ESTABA,NO ESTABA,VI,Visa,2023-01-08 21:48:49,0,0,0,MX,P1,1.0,383638
T-57873-5ba9e9a4-7aed-4290-b616-237721f894b9,MX-P1-1-325002,730093742896,2023-01-09 06:30:42,0,9.8,0.31,198.57,6.3542,0.0,0.0,MXN,20.2669,MX,9fc5df72-b58a-47b7-ad9a-7b08154006c9,1-1-,SI ESTABA,NO ESTABA,MC,Mastercard,2023-01-09 06:30:42,0,0,0,MX,P1,1.0,325002
T-57873-29d92e59-83d9-40c2-80d6-c9415cc92a9c,MX-P1-1-151213,820099288649,2023-01-09 06:30:42,2023-01-09 06:30:42,9.8,0.31,198.57,6.3542,0.0,0.0,MXN,20.2669,MX,98f48ee0-5474-11ec-a77f-b995d1a501d4,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-09 06:30:42,0,0,0,MX,P1,1.0,151213
T-57873-91b21751-ac5b-4cb0-b8bc-f450aed064f7,MX-P1-1-227513,820099488131,2023-01-09 16:02:32,2023-01-09 16:02:32,9.77,0.31,198.57,6.3542,0.0,0.0,MXN,20.3241,MX,cc24a222-30e2-4a36-b94d-4c4f8243b4a5,1-1-,NO ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-09 16:02:32,0,0,0,MX,P1,1.0,227513
T-57873-2707aa18-5fe8-42c5-aba8-ea5dc8644e50,MX-P1-1-648897,820099585541,2023-01-09 17:51:18,2023-01-09 17:51:17,9.78,0.31,198.57,6.3542,0.0,0.0,MXN,20.3047,MX,2343cf7d-6db4-4539-80bd-54befe206598,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-09 17:51:18,0,0,0,MX,P1,1.0,648897
T-57873-976f807e-1d79-403d-84d7-9b2a4554c8d5,MX-P1-1-753494,850096228571,2023-01-10 06:30:41,2023-01-10 06:30:41,9.79,0.31,198.57,6.3542,0.0,0.0,MXN,20.273,MX,e42491c0-0e83-11ec-b74f-15e3f6c058ba,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-10 06:30:41,0,0,0,MX,P1,1.0,753494
T-57873-c73069f7-d6dd-4fbb-9d31-8c02aa554321,MX-P1-1-390554,920097840282,2023-01-10 09:47:17,2023-01-10 09:47:16,9.8,0.31,198.57,6.3542,0.0,0.0,MXN,20.2618,MX,32b0897d-4186-425d-a733-8f6fb859b84b,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-10 09:47:17,0,0,0,MX,P1,1.0,390554
T-57873-bfe912fc-b44e-4bc7-9bfe-050b35e9cab5,MX-P1-1-131140,370004656864,2023-01-11 02:38:42,2023-01-11 02:38:42,9.82,0.31,198.57,6.3542,0.0,0.0,MXN,20.2136,MX,21f14625-de4d-4846-baaa-8e34ff7b93a2,1-1-,NO ESTABA,NO ESTABA,VI,Visa,2023-01-11 02:38:42,0,0,0,MX,P1,1.0,131140
